q_bin,count,pdr_mean,pdr_std,bin_min,bin_max,bin_width,ratio,sample_num
q1,12,0.016615958786898116,0.0023222330563045387,0.010338515865350716,0.018953381020747083,0.008614865155396367,0.023032629558541268,115
q2,91,0.023807552439666868,0.0024952240558444314,0.018953381020747083,0.02748295048153556,0.008529569460788478,0.1746641074856046,873
q3,96,0.03158183942805954,0.0023693614202069464,0.02748295048153556,0.036012519942324045,0.008529569460788484,0.18426103646833014,921
q4,115,0.040117005274345904,0.0023965448064398828,0.036012519942324045,0.04454208940311252,0.008529569460788478,0.22072936660268713,1104
q5,105,0.04857999118702049,0.002513296054602237,0.04454208940311252,0.053071658863901,0.008529569460788478,0.20153550863723607,1008
q6,56,0.057283680003892515,0.0024733368140400815,0.053071658863901,0.061601228324689485,0.008529569460788484,0.10748560460652591,537
q7,27,0.06446689443221582,0.0020289359177829993,0.061601228324689485,0.07013079778547797,0.008529569460788484,0.05182341650671785,259
q8,12,0.07463633670514576,0.0024279256364986386,0.07013079778547797,0.07866036724626645,0.008529569460788478,0.023032629558541268,115
q9,6,0.0824331238072173,0.001976554886805423,0.07866036724626645,0.08718993670705492,0.008529569460788478,0.011516314779270634,58
q10,1,0.0957195061678434,0.0,0.08718993670705492,0.0957195061678434,0.008529569460788478,0.0019193857965451055,10
